CAR_MODEL,YEAR,ENGINE_RPM,VEHICLE_SPEED,ENGINE_LOAD,COOLANT_TEMP,MAF_GRAMS_SEC,SHORT_TERM_TRIM,LONG_TERM_TRIM,THROTTLE_POS,TROUBLE_CODES
Honda Amaze,2016,2627.5,105.9,44.2,125.8,47.2,0.12,-1.44,26.2,P0117
MG Hector,2024,2100,42,97.1,88.4,41.65,1.01,1.36,27.7,P2463
Honda Amaze,2021,1429.3,47.8,26.4,91.2,5.74,-0.93,1.7,21.9,P0101
Maruti Suzuki Vitara Brezza,2018,1713.5,42,93.9,90.4,30.65,-0.66,-0.09,16.6,P2463
Renault Kwid,2015,1986.6,74.8,42.5,89.1,35.52,1.43,-0.11,27.1,None
Jeep Compass,2016,1034,32.4,47.8,116.7,18.6,-1.56,-0.58,30.4,P0117
Maruti Suzuki Ertiga,2017,3434.2,133.8,21.9,93.6,13.75,1.23,-0.05,18.1,P0101
Maruti Suzuki Swift,2015,2417.3,92.7,25.6,91.5,43.56,22.63,16.06,18.4,P0171
Tata Tigor,2016,2979.7,113.5,19.4,115.8,53.39,0.25,1.07,18.2,P0117
Toyota Innova Hycross,2018,1126.2,44.4,51.8,95.1,4.52,0.95,0.21,28.8,P0101
Honda Amaze,2020,1471.2,63.9,16.1,94.5,26.81,19.66,21.76,16.6,P0171
Tata Altroz,2017,929.9,35,40.6,91.3,16.67,27.93,20.38,27.5,P0171
Tata Punch,2023,1357.7,45.6,53.5,120.6,24.31,-0.48,-0.67,32.1,P0117
MG Astor,2024,1106.4,45,17.2,92.1,19.57,21.44,14.35,13.1,P0171
Mahindra Bolero,2020,630.4,43.9,84.8,91.1,18.29,2.88,1.78,15.2,P0300
Mahindra XUV300,2019,1876.4,69.8,20.7,93.9,34.27,-0.8,-0.2,18.5,None
Tata Altroz,2018,3093.2,119.5,19.7,88.9,12.32,-0.31,1.88,18.8,P0101
Ford EcoSport,2021,3423.1,120.8,61.4,89.6,56.28,-3.99,-1.8,29.5,P0300
MG Hector,2018,1868,69.2,53.5,95.4,33.2,1.68,-1,34.2,None
Tata Nexon,2016,757,28.5,34,95.1,13.55,15.88,16.49,21.6,P0171
Tata Punch,2023,3713.4,132.2,71.7,93.1,59.94,-4.84,1.58,22.4,P0300
Hyundai Tucson,2019,1810.2,89,63.7,90.4,39.36,-5.14,0.54,18.5,P0300
Skoda Slavia,2023,1185.4,51.2,34,117.2,21.81,0.73,0.21,21.7,P0117
Mahindra XUV700,2024,865.9,27.1,21.7,88.4,15.23,23.28,15.46,17.9,P0171
Mahindra Scorpio-N,2017,3518.4,114.5,79.8,90.2,57.3,5.11,0.14,21,P0300
Hyundai Venue,2016,903.5,33.3,84.3,88.3,16.45,1.9,-1.52,27.4,P2463
Skoda Kushaq,2021,2315.8,85.4,81.3,90.6,38.44,4.28,1.43,17.8,P0300
Volkswagen Virtus,2023,2873.7,110.7,64.5,96,54.38,3.87,-0.84,20.3,P0300
Skoda Slavia,2016,2150,78.5,51.6,95.8,38.57,15.63,21.41,32.4,P0171
Hyundai Creta,2018,1081.9,42,91.5,89.5,19.43,1.01,1.73,20.9,P2463
Hyundai Alcazar,2021,2883,111.4,46.3,94.4,51.55,25.25,20.35,28.8,P0171
Toyota Innova Hycross,2021,2100,42,84.4,89.4,44.12,-1.96,0.31,25.3,P2463
Tata Sierra,2023,1243.5,51.5,31.9,94.7,21.94,1.93,1.97,23.9,None
Kia Carens,2017,1595.8,42,87.4,91,29.02,0.06,-0.37,25.9,P2463
Ford EcoSport,2020,801.7,30.3,86.3,94.7,14.77,1.99,-0.34,23.3,P2463
Maruti Suzuki Ertiga,2019,2546.2,100.9,42.1,90.1,45.86,19.44,13.99,27.1,P0171
Maruti Suzuki Dzire,2015,1871,66,15.8,127.6,33.85,1.31,-0.42,16.3,P0117
Mahindra XUV700,2020,2189.3,90.7,39.7,91,38.97,15.61,13.83,27.5,P0171
Skoda Slavia,2021,2104.6,77.7,48,95.8,37.65,25.05,12.12,28.9,P0171
Maruti Suzuki Vitara Brezza,2020,1612.1,49.5,84,88.1,24.57,1.61,0.42,18.2,P0300
Mahindra Scorpio-N,2022,2011.8,76,45.8,94.3,36.16,20.99,18.88,29.8,P0171
Nissan Magnite,2024,1021.2,39.7,49.5,92.8,18.81,22.33,16.93,29.8,P0171
Nissan Magnite,2021,2030.4,72.6,83.3,94.2,37.83,7.04,-0.02,18.1,P0300
Toyota Fortuner,2024,2741.6,97.7,16.2,91.2,11.05,-0.32,-0.89,16.8,P0101
Volkswagen Virtus,2016,2668.2,107.7,35.3,132.3,47.8,0.03,1.73,24.5,P0117
Tata Safari,2020,894.7,29.2,29.5,90.3,3.66,-0.2,-1.79,19,P0101
Hyundai Alcazar,2023,1512.6,61.6,18.1,92.4,26.85,16.56,18.59,14.5,P0171
Tata Nexon,2016,2100,42,90.2,91.7,56.91,-0.67,-0.75,14.5,P2463
Maruti Suzuki Ertiga,2018,871.2,40.9,18.9,133.3,15.53,0.82,0.99,15.1,P0117
Tata Sierra,2023,1974.3,70.5,27.1,94.2,35.65,15.36,12.76,19.7,P0171
Audi Q5,2022,3182.8,123.7,41.9,139.5,56.91,1.61,-1.59,27.8,P0117
Mahindra Thar,2018,3134.3,116.7,33.6,134.1,56.61,-0.26,-0.35,23.6,P0117
Maruti Suzuki Vitara Brezza,2015,2100,42,82,88.7,57.37,0.09,-0.63,24.8,P2463
Maruti Suzuki Ertiga,2015,2718.1,104.5,52,92.4,49.2,21.13,21.61,31.3,P0171
Honda City,2022,2525.2,99,51.9,94.2,10.02,-1.44,-1.57,31.8,P0101
Skoda Kushaq,2015,2828.5,105.1,49.5,94.2,50.95,-0.57,0.27,30.4,None
Mahindra Marazzo,2016,1619.8,42,80.7,92.7,28.96,1.27,1.2,23,P2463
Hyundai i20,2015,1952.2,66.4,78.8,90.4,28.34,-5.74,-0.81,33.4,P0300
Maruti Suzuki Celerio,2017,1552.6,66.7,53.8,93.2,6.17,1.36,1.15,31.2,P0101
Ford Endeavour,2017,1528.8,57.2,43.7,88.8,27.15,-0.1,-1.95,28.6,None
Hyundai Tucson,2016,1637.1,52.9,85,90.7,23.46,-7.05,-1.3,29.3,P0300
Maruti Suzuki WagonR,2021,3272.9,117.3,34.2,91.6,13.03,1.45,0.89,21.7,P0101
Mahindra XUV300,2015,1265,44.5,53,112.7,22.85,-1.36,-0.21,33,P0117
Toyota Innova Hycross,2020,1317.6,69.6,71.6,89.5,29.94,4.7,1.19,29.8,P0300
Maruti Suzuki Ertiga,2017,3074.7,114.7,44.9,90.7,55,-0.1,-0.31,30.4,None
Maruti Suzuki Dzire,2023,979.8,41.5,26.3,93.6,3.94,-1.92,1.93,17.2,P0101
Mahindra Bolero,2016,841,34.5,21.8,93.9,3.4,-0.74,1.96,19.4,P0101
Toyota Innova Hycross,2020,1387.7,42,80.4,94.6,24.85,-0.67,-0.07,27.8,P2463
Toyota Fortuner,2024,1777.9,64.4,70.6,93.7,32.71,-3.04,-1.59,19,P0300
Renault Kwid,2021,2214.2,76.6,28.2,139.8,39.49,-0.66,1.05,22.4,P0117
Skoda Slavia,2021,1912.4,73.9,37.8,113,34.81,-1.3,0.66,25.9,P0117
Renault Kwid,2024,2100,42,96.8,93.9,41.61,-0.11,1.76,29.1,P2463
Toyota Urban Cruiser,2016,1308.6,43.8,64.2,90.1,23.21,2.31,-0.77,20.4,P0300
Mahindra XUV700,2024,1775,60.2,41.8,88.3,32.27,1.52,0.77,25.2,None
Toyota Glanza,2022,935.2,43.4,45.9,95.1,17.04,23.93,17.97,30.5,P0171
Hyundai Alcazar,2018,1355.6,66.3,78.6,93.9,29.28,-0.61,-0.74,14,P0300
Hyundai Alcazar,2016,3511.6,137.7,68.5,94.1,61.45,-6.32,-0.46,20.8,P0300
Maruti Suzuki Ertiga,2016,2100,42,95.1,90,58,1.43,-2,18.3,P2463
Hyundai Alcazar,2016,2806,112,50.7,126.6,50.91,-2,1.97,31.6,P0117
Renault Kwid,2017,1991.9,42,81.1,89.3,36.14,-0.18,1.75,16.3,P2463
Mahindra Marazzo,2015,2537.9,83.5,80.4,91.3,41.25,-2.27,0.29,29,P0300
Hyundai Verna,2024,2026.6,42,84,94.1,36.64,1.42,-0.5,27.2,P2463
Tata Harrier,2015,1203.1,45,45.7,88.3,21.63,-1.51,-1.05,30.1,None
Nissan Magnite,2019,882.7,32.2,26,131.6,15.88,-0.32,-1.8,18.3,P0117
Renault Kiger,2023,1452.8,62.7,28.3,93,25.66,15.34,16.89,18.5,P0171
Nissan Magnite,2018,3342.1,119.1,27.5,124.2,60.36,1.11,0.54,20.8,P0117
Maruti Suzuki Ertiga,2018,696.8,45.8,84.7,93.3,19.28,-6.96,1.18,21.5,P0300
Maruti Suzuki Vitara Brezza,2016,3288.1,118.1,52.7,92.9,59.29,1.86,0.39,30.4,None
Hyundai Verna,2023,2100,42,88.2,91.7,48.82,-0.98,-0.11,33.4,P2463
Nissan Magnite,2016,2100,42,82.5,92.9,44.1,1.47,0.81,16.3,P2463
Tata Safari,2019,2101.6,73.3,30.8,92.3,38.09,1.22,1.21,23.3,None
Volkswagen Virtus,2021,1682.7,62.7,25.8,94.4,30.76,-0.39,-1.5,17.1,None
Volkswagen Virtus,2017,2100,42,81.6,89,47.21,1.08,1.64,18.1,P2463
Jeep Compass,2020,1147,47.9,33.8,88.6,20.86,-0.26,-1.7,22.1,None
Maruti Suzuki Celerio,2022,2100,42,88.2,90.9,49.84,0.44,-1.48,31.1,P2463
Mahindra Scorpio-N,2024,1710.8,59.1,53.2,133.6,30.9,-1.61,-0.14,29.6,P0117
Hyundai Alcazar,2020,2749.9,96.6,41.9,119.5,49.27,0.87,-1.34,27.3,P0117
Tata Sierra,2020,2866.9,111.1,16.2,88.7,51.77,1.53,-1.7,17.2,None
Nissan Magnite,2023,2090,72.1,75.8,88.6,37.4,7.37,-1.62,21.2,P0300
Renault Kiger,2024,798.7,33,53.7,95.2,14.03,-1.05,-1.01,33.1,None
Toyota Urban Cruiser,2016,1614.3,75.6,76.4,88.5,34.63,6.85,1.35,16.7,P0300
Tata Tigor,2016,2437.8,93.9,52.5,122.8,43.9,0.63,-1.57,30.1,P0117
Mercedes-Benz GLC,2017,2629.8,101.9,30.4,117.3,47.68,0.66,0.47,21.7,P0117
Honda Amaze,2019,3403.3,136.6,27.1,89.5,60.83,-0.9,0.16,19.6,None
Renault Kwid,2020,1215,59.1,65.7,92.5,26.27,6.1,1.86,18.5,P0300
Tata Altroz,2016,2674.2,95.5,37.3,91.8,48.06,17.14,15.82,25.1,P0171
Nissan Magnite,2022,2148.7,90.5,67.8,95.5,45.71,4.83,0.83,16.9,P0300
Maruti Suzuki Vitara Brezza,2015,829,38.5,18.8,91.8,15.25,0.63,-1.89,16,None
Maruti Suzuki Vitara Brezza,2020,2813,113,49.9,91.3,51.06,22.54,20.46,30.3,P0171
Maruti Suzuki Dzire,2015,2588.1,97.9,46.9,88.8,10.26,1.83,-0.62,29,P0101
Volkswagen Virtus,2018,3461.4,138.8,72.8,94.9,61.91,-2.55,1.76,25.1,P0300
Honda Amaze,2024,2100,42,91.9,88.1,53.76,0.45,1.7,30,P2463
Volkswagen Taigun,2020,2526.3,89.7,50.1,90.1,10.12,0.97,1.04,32.5,P0101
Tata Sierra,2021,2113,70.5,79.5,88.5,34.43,1.39,0.96,29.2,P0300
Tata Tiago,2024,3140,111.8,47.7,93,56.76,-1.96,1.98,29.3,None
Skoda Kushaq,2024,2862.6,115,60.7,94.5,52.95,3.68,-0.46,23.4,P0300
Nissan Magnite,2024,1802.3,62.7,17.2,95.8,32.48,18.53,20.1,14.5,P0171
Kia Carens,2023,3325.2,123.5,24.8,118,59.78,0.18,-0.18,16.7,P0117
Mercedes-Benz GLC,2015,1325.4,49.2,53.2,118,23.53,0.09,-1.36,31.9,P0117
Mahindra Bolero,2019,2789,108.4,42.3,90.7,11.21,-1.77,1.22,25,P0101
Tata Punch,2016,2029.9,78.9,23.7,91.6,8.04,1.13,1.8,16,P0101
Maruti Suzuki Alto,2020,3016.8,113.6,41.1,136.3,54.35,1.64,-1.15,25.5,P0117
Honda City,2021,1617.5,65.4,19,93.8,6.57,-1.75,0.14,15.2,P0101
Maruti Suzuki Baleno,2024,1260.9,49.3,29.3,93.4,22.24,17.93,20.5,21.8,P0171
Tata Punch,2017,1665.7,54.3,78.4,93.9,27.7,-2.62,-1.41,17.5,P0300
MG Astor,2016,3432.6,126.6,28,90.9,61.6,25.39,21.83,22,P0171
Maruti Suzuki WagonR,2023,1485.3,60.9,51.2,95.1,5.87,0.86,-0.98,28.5,P0101
Honda Amaze,2016,772.2,23.5,18.4,88.5,13.4,23.65,17.28,16.1,P0171
Kia Carens,2017,2866.5,103.4,52,127.8,51.69,0.44,-0.11,33.2,P0117
Maruti Suzuki Celerio,2018,1214.6,42.5,50.7,135.2,21.98,0.22,1.27,31.9,P0117
Kia Carens,2021,972.7,32,29.7,123.3,17.35,-1.73,-0.24,20.8,P0117
Kia Carens,2017,1727,42,86.7,90.8,31.07,-1.71,0.41,31.9,P2463
Tata Harrier,2023,1277.7,43.6,43.5,91,23.43,25.34,19.08,26.7,P0171
Hyundai Venue,2021,1230,48.3,35.2,88.9,4.93,1.31,-0.54,23.1,P0101
Tata Altroz,2023,2279.7,89.5,33.3,92.3,9.17,0.39,-1.03,21.9,P0101
Honda City,2017,2100,42,88.4,95.9,43.66,1.95,0.7,24.9,P2463
Hyundai Creta,2017,1840.7,62.5,29.9,94.1,33.62,22.76,13.69,19.7,P0171
Jeep Compass,2016,3203,114.7,53.6,91.6,57.72,-0.24,0.68,34.3,None
Mahindra Bolero,2022,1490.9,64.7,78.6,90.5,32.97,7.88,0.19,26.2,P0300
Audi Q5,2018,2461.6,86.5,34.8,91.4,9.92,-0.39,0.53,24,P0101
Tata Altroz,2018,2151.7,78.6,67.1,94.2,38.86,2.14,-0.69,20.1,P0300
Maruti Suzuki Celerio,2020,3447.7,131.3,33.3,92,62.33,1.52,1.42,22.3,None
Renault Kwid,2023,3107.3,117.1,38.1,88.1,12.42,1.02,0.62,23,P0101
Ford EcoSport,2016,798.4,24.5,18.9,93.6,13.96,26.14,16.05,14.4,P0171
Maruti Suzuki Swift,2023,2888.7,126.3,78.8,92.5,57.74,2.59,-1.85,15.3,P0300
Mahindra Thar,2017,2659.1,100.1,16,92.4,47.7,-0.17,0.99,12.8,None
Tata Altroz,2020,2046.2,73.6,36.1,89.6,37.23,-0.72,1.09,24.7,None
Hyundai Creta,2017,923.2,32.9,30.9,92.1,3.76,1.96,0.41,22.2,P0101
Tata Sierra,2023,2100,42,85.4,94.4,45.51,-0.28,0.31,18.7,P2463
Hyundai Verna,2019,1267.3,55.1,43.9,93.5,22.69,19.92,21.78,27.7,P0171
Tata Sierra,2017,3272.7,127.1,37.1,92,59.18,1.02,-0.94,25.5,None
Maruti Suzuki Swift,2017,2100,42,87.4,90.3,61.81,-0.32,0.15,28.3,P2463
Toyota Fortuner,2017,2100,42,88,92.7,59.14,-0.44,-0.69,29.6,P2463
Hyundai Alcazar,2023,1845.9,77.4,30.4,94,33.08,-1.08,0.45,23.2,None
Tata Safari,2022,1844,67.5,26.7,95.8,33.15,-1.39,-1.83,17.4,None
Tata Nexon,2021,1539.3,42,80.1,92.4,27.42,-1.54,-0.39,17.5,P2463
Renault Kwid,2016,3316.5,133.1,52.8,88.9,13.22,-0.41,1.57,30.7,P0101
Renault Kwid,2024,2020.5,76.4,19.4,89.7,8.17,-0.35,0.1,14.2,P0101
Audi Q5,2019,2862.9,116.6,29.5,90.7,51.52,-1.57,0.82,19.1,None
Mahindra XUV700,2021,3347,120.3,63.1,94.6,54,2.06,1.68,30.6,P0300
Skoda Slavia,2015,1185.8,42,86.2,90.2,21.01,-1.34,0.75,15.2,P2463
Hyundai Tucson,2016,2457,86.6,17.2,93.7,44.1,20.56,14.17,13.1,P0171
Honda City,2017,1026.3,35.9,85.6,94.3,18.22,0.35,1.82,25.1,P2463
Maruti Suzuki Vitara Brezza,2019,2964.4,117.9,17.8,89.8,11.79,-0.54,-0.71,14.7,P0101
MG Astor,2023,1466.6,60.4,45.9,90.9,5.8,0.51,-0.35,27.3,P0101
Kia Carens,2020,2923.7,121.9,68.2,90.3,57.77,5.32,1.17,22.5,P0300
Renault Kiger,2023,3430.5,125.7,22.1,121.8,62.11,1.05,-1.9,17.5,P0117
Renault Kiger,2021,2924.8,106.9,20.7,94,52.6,-0.63,0.29,14.7,None
Kia Carens,2018,2013.5,68.8,50.1,113.6,35.77,-1.85,0.72,30.5,P0117
Hyundai Tucson,2023,1161.7,45.1,44.7,124.7,21.26,-1.71,0.73,27.1,P0117
Tata Tigor,2021,2106.3,85.6,38,92.3,8.34,-1.96,-0.74,23.9,P0101
Kia Sonet,2017,3520.4,125.3,69.9,88.6,58.36,6.63,1.25,22,P0300
Honda City,2020,1300.1,47.7,38,89.1,23.7,-1.36,-0.2,27,None
Tata Altroz,2019,1748.4,66.3,27.1,88.5,6.9,-0.12,-1.97,19.8,P0101
Tata Tiago,2022,1170.9,45.7,24.2,91,4.64,-1.95,-0.75,17.7,P0101
Mahindra XUV300,2016,1624.2,65.7,36.5,113.1,29.13,0.5,0.94,24.1,P0117
Jeep Compass,2020,1870.3,78.8,32.9,130.6,33.38,-1.35,-1.44,20.3,P0117
Hyundai Verna,2020,2849.2,106.1,35,95.8,51.14,20.42,15.55,23.8,P0171
Mahindra Scorpio-N,2022,3499.4,125.4,48,118.6,63.37,-0.46,-1.39,28.8,P0117
MG Astor,2017,2347.1,93.7,53.2,91.7,42.14,0.63,-1.31,29.9,None
Toyota Innova Hycross,2017,1854.5,68.9,36.2,130.4,33.58,-0.05,0,23.8,P0117
Maruti Suzuki Swift,2015,1054.5,38.5,47.4,90,18.6,20.52,13.62,31.1,P0171
Mahindra Thar,2023,2427.1,102,67.3,92.9,49.6,-4.28,-1.44,25.9,P0300
Toyota Fortuner,2018,2679.9,97.1,17.5,95.5,10.64,1.38,1.79,13.2,P0101
Honda Amaze,2024,2046.6,73.8,36.2,93.3,37.31,21.8,19.17,24.1,P0171
Renault Kwid,2022,2766.5,103.3,78.9,93.3,50.62,-3.15,1.48,30.2,P0300
Toyota Urban Cruiser,2022,2039.6,64.5,76.2,95.6,33.11,1.38,1.79,16.1,P0300
Toyota Glanza,2019,2097.1,42,92.4,94.7,37.38,-0.48,1.74,19.8,P2463
Volkswagen Taigun,2017,2918.6,109.3,49.9,89.8,52.94,19.29,18.03,32.6,P0171
Maruti Suzuki WagonR,2024,1038.4,46.1,54.4,132.8,18.79,0.97,1.06,34.2,P0117
Kia Seltos,2015,2221.8,90.7,35.9,93.9,39.89,-0.84,-1.34,21.8,None
Tata Harrier,2021,1081.5,42.6,24.5,88.4,4.41,-2,0.81,21.1,P0101
Mahindra Scorpio-N,2023,2273.3,94.6,64.5,93.4,44.2,3.55,-1.87,30.8,P0300
Toyota Fortuner,2015,2827.8,101.8,29.1,88.5,50.62,24.83,16.15,18.3,P0171
Skoda Slavia,2019,3206.2,119.8,62.3,93,59.49,-4.66,-1.88,23.3,P0300
Volkswagen Taigun,2019,2881.5,116.7,68.3,92.9,52.74,-4.02,-1.75,21.1,P0300
Maruti Suzuki Vitara Brezza,2023,3256.4,123.4,23.6,89.3,58.35,24.72,18.28,18.3,P0171
Mahindra XUV700,2020,752.3,24.1,29.4,89.4,3,-1.19,-0.88,18.7,P0101
Volkswagen Taigun,2017,2100,42,92.7,88.2,41.72,0.79,0.59,28.2,P2463
Maruti Suzuki Swift,2019,1114.3,48.2,30.4,88.3,19.89,15.22,13.41,20.9,P0171
Honda Amaze,2018,869.9,25.6,29.3,135.8,15.81,-0.57,1.96,22.8,P0117
Tata Safari,2017,979.5,34.9,41.6,90.6,17.96,-0.2,0.43,28.9,None
Volkswagen Virtus,2023,1887,66.5,18.2,92.6,33.98,27.55,21.94,16.6,P0171
Honda City,2016,1280.7,46.8,41.2,92.1,23.53,20.38,21.8,24.8,P0171
Mahindra Thar,2021,2348.9,88.1,61,89.9,45.27,-3.79,-0.3,28.1,P0300
Volkswagen Taigun,2023,3051.2,112.5,18.1,90.8,54.52,-0.1,-1.57,13.8,None
Mahindra Scorpio-N,2019,2708.5,99.6,51.2,95.3,10.81,1.54,1.49,31.3,P0101
Mahindra XUV300,2017,2048.8,84.4,24.8,131,36.89,1.08,-0.89,17,P0117
Mahindra Bolero,2016,3087.3,115.5,35.2,91.9,55.18,25.01,13.6,24.2,P0171
Maruti Suzuki Ertiga,2022,2738,105.3,66.6,89.6,46.81,5.24,-0.28,30.1,P0300
Maruti Suzuki Celerio,2022,2224.5,84.7,53.7,91.3,40.07,0.73,1.64,33.5,None
MG Astor,2019,1047.6,46.6,22.5,89.2,4.27,-1.41,1.27,15.7,P0101
Mahindra XUV700,2017,2717.4,107.4,26,90.3,10.81,-1.99,-0.35,17.9,P0101
Toyota Fortuner,2015,1058.3,44.7,32.2,93.5,4.19,0.87,-0.8,23.4,P0101
Tata Tigor,2018,2062.8,71,67.1,93.8,30.26,-5.23,-0.84,32.3,P0300
Jeep Compass,2019,3300.8,124.2,84.7,89.3,60.29,-6.81,1.31,20.8,P0300
Hyundai Creta,2015,2853,105.6,28,93.1,51.74,-1.81,0.75,19,None
Maruti Suzuki Swift,2017,3174.8,127.9,16.9,89.5,12.65,0.64,0.64,14.6,P0101
Toyota Urban Cruiser,2022,2793.2,112.1,40.1,126.3,50.47,0.16,1.16,24.2,P0117
Hyundai i20,2015,2897.3,105.3,38.2,94.2,51.92,0.23,-1.53,26.6,None
Toyota Glanza,2021,1221.2,39.8,18.8,90,21.61,1.65,-1.16,14.1,None
Maruti Suzuki Celerio,2023,2100,42,89.2,92.1,40.32,0.6,-1.29,26.1,P2463
Maruti Suzuki Alto,2024,3499,125.1,52.2,90.7,63.14,26.13,15.46,29.6,P0171
Toyota Fortuner,2022,1233,66.5,69.1,93.2,28.2,1.87,-0.36,25.1,P0300
Maruti Suzuki Dzire,2015,2674.1,106.1,25.4,90,48.6,18.76,14.47,18.7,P0171
BMW X5,2023,1643.4,57.9,70.4,95.6,30.34,-2.54,-0.49,23.4,P0300
Hyundai i20,2020,1496.1,60.5,34.8,88.5,26.5,15.52,12.64,23.8,P0171
Toyota Glanza,2023,1585.9,56.9,25.4,130.7,29.01,0.43,-0.15,16.8,P0117
Maruti Suzuki WagonR,2018,1722.7,42,80.9,95.9,30.65,1.94,1.6,13.7,P2463
Tata Punch,2017,2309.1,91.8,62.1,92.7,44.72,-5.57,-1.52,24.8,P0300
Maruti Suzuki Celerio,2023,934.1,30.7,49.5,94.9,17.17,25.56,16.35,29.4,P0171
Kia Carens,2017,2136,78.1,50.1,91.2,38.8,1.83,-1.83,29.4,None
BMW X5,2023,2238.5,77.2,44.1,92.5,39.82,18.47,21.33,25.8,P0171
Kia Seltos,2019,3629.1,130.8,65.4,95.5,60.12,5.23,0.12,15.1,P0300
Maruti Suzuki Swift,2015,2138.3,83.7,42.3,113,38.83,-1.55,-0.42,27.1,P0117
Nissan Magnite,2024,1402.8,47.4,52.8,116.6,25.05,1.44,1.52,29.3,P0117
Audi Q5,2020,1049.4,32.1,22.1,94.7,4.29,0.65,1.2,16.5,P0101
MG Hector,2015,2980.5,111.8,22.1,133.5,53.23,-0.31,1.08,15.8,P0117
Maruti Suzuki Ertiga,2020,1484.4,42,84.6,93.2,26.46,1.2,1.06,24.1,P2463
Hyundai Creta,2024,2100,42,85.5,88.2,38.79,-0.75,-1.22,27.4,P2463
Renault Kiger,2015,2802.8,111.4,34.3,116.2,50.23,0.21,0.18,25.2,P0117
Maruti Suzuki Ertiga,2022,1004.8,37.7,50.1,93.9,4,-0.68,-0.17,27.9,P0101
Mahindra Bolero,2020,2712.5,109.3,84.4,93.9,50.82,3.32,0.88,20.9,P0300
Skoda Slavia,2018,1328,57.1,53.4,92.2,23.68,17.05,17.63,34,P0171
Mercedes-Benz GLC,2016,2676.5,106.7,34.8,90.4,48.47,18.41,18.32,24.2,P0171
Hyundai i20,2022,2494.5,99.9,17.5,95.5,44.42,19.39,21.03,16.3,P0171
Mahindra Bolero,2019,1967.6,78.1,17.1,88.4,34.97,19.26,12.94,13.4,P0171
Tata Altroz,2022,1720.4,63.3,24.2,128.4,30.74,1.08,-1.98,20.9,P0117
Hyundai i20,2015,753.7,27.5,45.6,91.9,13.68,19.22,20.75,26.8,P0171
Hyundai Verna,2017,3179.9,132,83.7,92,62.31,2.18,-0.71,21.4,P0300
Maruti Suzuki Ertiga,2016,1228.6,52.1,25.6,132.1,22.23,0.59,-1.45,19.1,P0117
Mahindra Marazzo,2024,1878.3,76.9,62.2,88.6,39.66,5.92,0.28,29,P0300
BMW X5,2020,1773.8,68.8,41.1,92.8,7.16,-0.29,-1.37,25.3,P0101
Tata Safari,2017,841.3,26.7,30.7,90,14.96,1.69,-1.02,22.2,None
Hyundai i20,2021,2453.8,89.2,49.6,93.6,9.87,-0.04,1.62,32.4,P0101
Kia Carens,2021,1260.8,49.5,66.1,91.3,24.17,5.93,-1.52,21.7,P0300
Hyundai Venue,2018,3030.5,110.5,26.2,93.6,54.97,21.48,15.48,19.8,P0171
Kia Carens,2018,3381.1,128.8,32.2,91.2,61.29,17.72,20.47,23.3,P0171
MG Astor,2018,1956.6,80.7,26.3,90.1,35.5,18.42,15.33,19.5,P0171
Maruti Suzuki Baleno,2018,1328.8,42,89.4,90.1,23.91,1.39,-0.76,17.9,P2463
Tata Tiago,2017,1310.5,53.6,48.3,96,5.21,1.05,0.02,28.8,P0101
Honda City,2021,1572.5,42,95.5,89.7,28.49,-0.53,-0.09,21.7,P2463
Toyota Innova Hycross,2016,2972.6,105.1,43.1,95.7,11.91,1.48,0.48,25.6,P0101
Tata Tigor,2021,2100,42,83.8,94.4,47.69,-1.26,-1.19,21.5,P2463
Tata Safari,2021,1487.3,50,24.3,93.5,26.75,1.11,1.13,19.2,None
Maruti Suzuki Celerio,2024,2729.9,110.3,49.5,94.7,10.88,-0.56,-0.17,32.2,P0101
Mahindra Thar,2019,1046.8,44.9,22.2,91.6,19.22,15.61,20.97,18.1,P0171
Mercedes-Benz GLC,2018,2127.8,86,25.4,121.5,38.32,-1.33,0.78,17.9,P0117
Toyota Urban Cruiser,2017,1385.1,42,92.4,93.3,25.2,1.42,-1.85,22.9,P2463
Maruti Suzuki WagonR,2020,3311.7,133.7,15.5,131.2,59.14,0.11,1.46,13.1,P0117
Renault Kwid,2018,972.5,36.8,49.1,138.8,17.31,-0.36,-1.06,31.1,P0117
Kia Seltos,2016,1978,80.4,52.7,91,8.01,-1.99,1.26,33.1,P0101
Mahindra XUV300,2018,1152.3,41,42.3,95.4,4.69,-1.49,-1.19,28.2,P0101
Hyundai Alcazar,2016,2949,107.9,38.4,90,53.53,1.49,0.76,24.8,None
Mahindra Scorpio-N,2020,3055.8,123,71.1,95.9,60.87,6.89,-1.01,28.8,P0300
Maruti Suzuki Dzire,2018,2317.5,80.8,47.7,93,9.23,-0.9,0.5,30.8,P0101
Mahindra Scorpio-N,2023,3253.4,129.2,19.3,89.2,12.97,-0.45,1.24,16.9,P0101
Hyundai Alcazar,2023,2100,42,84.6,93.8,38.8,-1.74,-1.3,18.9,P2463
Maruti Suzuki Vitara Brezza,2017,807.6,33.8,35.5,89.2,15.01,0.9,-1.75,23.2,None
Hyundai Verna,2020,861.5,40.6,77.7,92.1,22,-2.67,-0.6,26.4,P0300
Maruti Suzuki Dzire,2023,3196.4,104.4,79.9,96,50.39,-3.39,-0.08,16.6,P0300
Nissan Magnite,2018,1768.2,71.9,35.9,94.9,31.91,-1.29,-1.57,26,None
Hyundai Creta,2016,1567,61.5,15.3,95.5,6.25,-0.62,0.58,14.3,P0101
