Code,Trouble Code System,Condition Description,Full_Description,Possible_Causes,Diagnostic_Aids,Application,Context_For_RAG
P0300,Powertrain,Random Misfire Detected,"The random misfire DTC indicates multiple cylinders are misfiring or the powertrain control
module (PCM) cannot identify which cylinder is misfiring.
Possible (cid:1) Camshaft position sensor (CMP)
Causes: (cid:1) Low fuel (less than 1/8 tank)
(cid:1) Stuck open EGR valve
(cid:1) Blocked EGR passages
Diagnostic One or more EGR passages may be blocked or partially blocked. If this is the case the
Aids: misfire detection monitor indicates the EGR port to check for possible blockage.",N/A,N/A,,"DTC Code: P0300
Title: Random Misfire Detected
System Description: The random misfire DTC indicates multiple cylinders are misfiring or the powertrain control
module (PCM) cannot identify which cylinder is misfiring.
Possible (cid:1) Camshaft position sensor (CMP)
Causes: (cid:1) Low fuel (less than 1/8 tank)
(cid:1) Stuck open EGR valve
(cid:1) Blocked EGR passages
Diagnostic One or more EGR passages may be blocked or partially blocked. If this is the case the
Aids: misfire detection monitor indicates the EGR port to check for possible blockage.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0310,Powertrain,Cylinder 10 Misfire Detected,See the description for DTC P030x.,See the possible causes for DTC P030x.,See the diagnostic aids for DTC P030x.,,"DTC Code: P0310
Title: Cylinder 10 Misfire Detected
System Description: See the description for DTC P030x.
Possible Causes: See the possible causes for DTC P030x.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P030x.
Vehicle Application: "
P0315,Powertrain,Crankshaft Position System Variation Not Learned.,"The powertrain control module (PCM) is unable to learn and correct for mechanical
inaccuracies in crankshaft pulse wheel tooth spacing. This DTC disables the misfire
monitor.
Possible (cid:1) Damaged crankshaft pulse wheel teeth
Causes: (cid:1) Damaged crankshaft position (CKP) sensor
Diagnostic Requires visual inspection of the CKP sensor and the crankshaft pulse wheel teeth for
Aids: damage.",N/A,N/A,,"DTC Code: P0315
Title: Crankshaft Position System Variation Not Learned.
System Description: The powertrain control module (PCM) is unable to learn and correct for mechanical
inaccuracies in crankshaft pulse wheel tooth spacing. This DTC disables the misfire
monitor.
Possible (cid:1) Damaged crankshaft pulse wheel teeth
Causes: (cid:1) Damaged crankshaft position (CKP) sensor
Diagnostic Requires visual inspection of the CKP sensor and the crankshaft pulse wheel teeth for
Aids: damage.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0316,Powertrain,Misfire Detected On Startup (First 1000 Revolutions),"DTC P0316 is set in addition to any type B misfire DTC which occurs in the first 1,000
revolution test interval following engine start.
Possible (cid:1) Damaged crankshaft position (CKP) sensor
Causes: (cid:1) Ignition system
(cid:1) Fuel injectors
(cid:1) Running out of fuel
(cid:1) Fuel quality
(cid:1) Base engine
(cid:1) Damaged powertrain control module (PCM)
Diagnostic Freeze frame data and the DTC P03xx are also stored, indicating which cylinder the
Aids: misfire occurred.",N/A,N/A,,"DTC Code: P0316
Title: Misfire Detected On Startup (First 1000 Revolutions)
System Description: DTC P0316 is set in addition to any type B misfire DTC which occurs in the first 1,000
revolution test interval following engine start.
Possible (cid:1) Damaged crankshaft position (CKP) sensor
Causes: (cid:1) Ignition system
(cid:1) Fuel injectors
(cid:1) Running out of fuel
(cid:1) Fuel quality
(cid:1) Base engine
(cid:1) Damaged powertrain control module (PCM)
Diagnostic Freeze frame data and the DTC P03xx are also stored, indicating which cylinder the
Aids: misfire occurred.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0320,Powertrain,Ignition/Distributor Engine Speed Input Circuit,"The ignition engine speed sensor input signal to powertrain control module (PCM) is
continuously monitored. The test fails when the signal indicates that 2 successive erratic
profile ignition pickup (PIP) pulses occurred.
Possible (cid:1) Loose wires/connectors
Causes: (cid:1) Arcing secondary ignition components (coil, wires and plugs)
(cid:1) On-board transmitter (2-way radio)
Diagnostic The DTC indicates that 2 successive erratic PIP pulses occurred.
Aids:",N/A,N/A,,"DTC Code: P0320
Title: Ignition/Distributor Engine Speed Input Circuit
System Description: The ignition engine speed sensor input signal to powertrain control module (PCM) is
continuously monitored. The test fails when the signal indicates that 2 successive erratic
profile ignition pickup (PIP) pulses occurred.
Possible (cid:1) Loose wires/connectors
Causes: (cid:1) Arcing secondary ignition components (coil, wires and plugs)
(cid:1) On-board transmitter (2-way radio)
Diagnostic The DTC indicates that 2 successive erratic PIP pulses occurred.
Aids:
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0325,Powertrain,Knock Sensor 1 Circuit (Bank 1),"The KS detects vibrations upon increase and decrease in engine RPM. The knock sensor
generates a voltage based on this vibration. A DTC is set if the voltage goes outside a
calibrated level.
Possible (cid:1) KS circuit short to GND
Causes: (cid:1) KS sensor circuit short to voltage
(cid:1) KS circuit open
(cid:1) Damaged KS
Diagnostic A knock sensor voltage greater than 0.5 volt with the key ON engine OFF indicates a
Aids: concern is present.",N/A,N/A,,"DTC Code: P0325
Title: Knock Sensor 1 Circuit (Bank 1)
System Description: The KS detects vibrations upon increase and decrease in engine RPM. The knock sensor
generates a voltage based on this vibration. A DTC is set if the voltage goes outside a
calibrated level.
Possible (cid:1) KS circuit short to GND
Causes: (cid:1) KS sensor circuit short to voltage
(cid:1) KS circuit open
(cid:1) Damaged KS
Diagnostic A knock sensor voltage greater than 0.5 volt with the key ON engine OFF indicates a
Aids: concern is present.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0326,Powertrain,Knock Sensor 1 Circuit Range/Performance (Bank 1),See the description for DTC P0325.,See the possible causes for DTC P0325.,See the diagnostic aids for DTC P0325.,,"DTC Code: P0326
Title: Knock Sensor 1 Circuit Range/Performance (Bank 1)
System Description: See the description for DTC P0325.
Possible Causes: See the possible causes for DTC P0325.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0325.
Vehicle Application: "
P0330,Powertrain,Knock Sensor 2 Circuit (Bank 2),See the description for DTC P0325.,See the possible causes for DTC P0325.,See the diagnostic aids for DTC P0325.,,"DTC Code: P0330
Title: Knock Sensor 2 Circuit (Bank 2)
System Description: See the description for DTC P0325.
Possible Causes: See the possible causes for DTC P0325.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0325.
Vehicle Application: "
P0331,Powertrain,Knock Sensor 2 Circuit Range/Performance (Bank 2),See the description for DTC P0325.,See the possible causes for DTC P0325.,See the diagnostic aids for DTC P0325.,,"DTC Code: P0331
Title: Knock Sensor 2 Circuit Range/Performance (Bank 2)
System Description: See the description for DTC P0325.
Possible Causes: See the possible causes for DTC P0325.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0325.
Vehicle Application: "
P0340,Powertrain,Camshaft Position Sensor A Circuit (Bank 1 or single sensor),"The test fails when the powertrain control module (PCM) can no longer detect the signal
from the camshaft position (CMP) sensor on bank 1.
Possible (cid:1) CMP circuit open
Causes: (cid:1) CMP circuit short to GND
(cid:1) CMP circuit short to voltage
(cid:1) SIG RTN open (VR sensor)
(cid:1) CMP GND open (Hall-effect sensor)
(cid:1) CMP circuit short to CMP2 circuit (if equipped)
(cid:1) CMP incorrectly installed (Hall-effect sensor)
(cid:1) Damaged CMP sensor shielding
(cid:1) Damaged CMP sensor
(cid:1) Damaged PCM
Diagnostic Harness routing, harness alterations, improper shielding, or electrical interference from
Aids: other improperly functioning systems may have an intermittent impact on the CMP signal.",N/A,N/A,,"DTC Code: P0340
Title: Camshaft Position Sensor A Circuit (Bank 1 or single sensor)
System Description: The test fails when the powertrain control module (PCM) can no longer detect the signal
from the camshaft position (CMP) sensor on bank 1.
Possible (cid:1) CMP circuit open
Causes: (cid:1) CMP circuit short to GND
(cid:1) CMP circuit short to voltage
(cid:1) SIG RTN open (VR sensor)
(cid:1) CMP GND open (Hall-effect sensor)
(cid:1) CMP circuit short to CMP2 circuit (if equipped)
(cid:1) CMP incorrectly installed (Hall-effect sensor)
(cid:1) Damaged CMP sensor shielding
(cid:1) Damaged CMP sensor
(cid:1) Damaged PCM
Diagnostic Harness routing, harness alterations, improper shielding, or electrical interference from
Aids: other improperly functioning systems may have an intermittent impact on the CMP signal.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0344,Powertrain,Camshaft Position Sensor A Circuit Intermittent (Bank 1 or single sensor),"The test fails when the powertrain control module (PCM) detects an intermittent signal
from the camshaft position (CMP) sensor.
Possible (cid:1) Intermittent open circuit
Causes: (cid:1) Intermittent short circuit
(cid:1) Damaged sensor shielding
(cid:1) Damaged sensor
Diagnostic Harness routing, harness alterations, improper shielding, or electrical interference from
Aids: other improperly functioning systems may have an intermittent impact on the CMP signal.",N/A,N/A,,"DTC Code: P0344
Title: Camshaft Position Sensor A Circuit Intermittent (Bank 1 or single sensor)
System Description: The test fails when the powertrain control module (PCM) detects an intermittent signal
from the camshaft position (CMP) sensor.
Possible (cid:1) Intermittent open circuit
Causes: (cid:1) Intermittent short circuit
(cid:1) Damaged sensor shielding
(cid:1) Damaged sensor
Diagnostic Harness routing, harness alterations, improper shielding, or electrical interference from
Aids: other improperly functioning systems may have an intermittent impact on the CMP signal.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0345,Powertrain,Camshaft Position Sensor A Circuit (Bank 2),"The test fails when the powertrain control module (PCM) can no longer detect the signal
from the camshaft position (CMP) sensor on bank 2.
Possible See the","for DTC P0340.
Causes:
Diagnostic See the","for DTC P0340.
Aids:",,"DTC Code: P0345
Title: Camshaft Position Sensor A Circuit (Bank 2)
System Description: The test fails when the powertrain control module (PCM) can no longer detect the signal
from the camshaft position (CMP) sensor on bank 2.
Possible See the
Possible Causes: for DTC P0340.
Causes:
Diagnostic See the
Diagnostic Steps/Aids: for DTC P0340.
Aids:
Vehicle Application: "
P0349,Powertrain,Camshaft Position Sensor A Circuit Intermittent (Bank 2),See the description for DTC P0344.,See the possible causes for DTC P0344.,See the diagnostic aids for DTC P0344.,,"DTC Code: P0349
Title: Camshaft Position Sensor A Circuit Intermittent (Bank 2)
System Description: See the description for DTC P0344.
Possible Causes: See the possible causes for DTC P0344.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0344.
Vehicle Application: "
P0350,Powertrain,Ignition Coil Primary/Secondary Circuit,"Each ignition primary circuit is continuously monitored. The test fails when the powertrain
control module (PCM) does not receive a valid ignition diagnostic monitor (IDM) pulse
signal from the ignition module (integrated in the PCM).
Possible (cid:1) Open or short in the ignition START/RUN circuit
Causes: (cid:1) Open coil driver circuit
(cid:1) Coil driver circuit short to ground
(cid:1) Damaged coil
(cid:1) Coil driver circuit short to VPWR
Diagnostic Use the 12-volt non-powered test lamp to verify START/RUN voltage at the ignition coil
Aids: harness connector.
Check the coil driver circuit for open, short to VPWR, or short to ground.",N/A,N/A,,"DTC Code: P0350
Title: Ignition Coil Primary/Secondary Circuit
System Description: Each ignition primary circuit is continuously monitored. The test fails when the powertrain
control module (PCM) does not receive a valid ignition diagnostic monitor (IDM) pulse
signal from the ignition module (integrated in the PCM).
Possible (cid:1) Open or short in the ignition START/RUN circuit
Causes: (cid:1) Open coil driver circuit
(cid:1) Coil driver circuit short to ground
(cid:1) Damaged coil
(cid:1) Coil driver circuit short to VPWR
Diagnostic Use the 12-volt non-powered test lamp to verify START/RUN voltage at the ignition coil
Aids: harness connector.
Check the coil driver circuit for open, short to VPWR, or short to ground.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0351,Powertrain,Ignition Coil A Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0351
Title: Ignition Coil A Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0352,Powertrain,Ignition Coil B Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0352
Title: Ignition Coil B Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0353,Powertrain,Ignition Coil C Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0353
Title: Ignition Coil C Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0354,Powertrain,Ignition Coil D Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0354
Title: Ignition Coil D Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0355,Powertrain,Ignition Coil E Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0355
Title: Ignition Coil E Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0356,Powertrain,Ignition Coil F Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0356
Title: Ignition Coil F Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0357,Powertrain,Ignition Coil G Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0357
Title: Ignition Coil G Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0358,Powertrain,Ignition Coil H Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0358
Title: Ignition Coil H Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0359,Powertrain,Ignition Coil I Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0359
Title: Ignition Coil I Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0360,Powertrain,Ignition Coil J Primary/Secondary Circuit,See the description for DTC P0350.,See the possible causes for DTC P0350.,See the diagnostic aids for DTC P0350.,,"DTC Code: P0360
Title: Ignition Coil J Primary/Secondary Circuit
System Description: See the description for DTC P0350.
Possible Causes: See the possible causes for DTC P0350.
Diagnostic Steps/Aids: See the diagnostic aids for DTC P0350.
Vehicle Application: "
P0400,Powertrain,Exhaust Gas Recirculation (EGR) Flow,"The electric EGR (EEGR) system is monitored once per drive cycle at high and low load
conditions. The test fails when a concern is detected by powertrain control module (PCM)
calculations indicating the EGR flow is less or greater than expected.
Possible (cid:1) EEGR valve stuck open or closed
Causes: (cid:1) Connector to EEGR not seated
(cid:1) EEGR motor winding circuits short or open
(cid:1) No voltage to the EEGR
(cid:1) Harness open or short to voltage or ground
(cid:1) Vacuum signal to manifold absolute pressure (MAP) restricted or leaking
(cid:1) Mass air flow (MAF) sensor signal erroneous
(cid:1) Carbon build up in the EEGR valve seat area
(cid:1) One or more sensors is not responding or is out of range
Diagnostic All of the following sensors input data to the PCM for correct operation of the EEGR
Aids: system: engine coolant temperature (ECT), crankshaft position (CKP), intake air
temperature (IAT), MAF, throttle position (TP), MAP. Any DTC relating to these sensors
must be resolved prior to addressing DTC P0400.",N/A,N/A,,"DTC Code: P0400
Title: Exhaust Gas Recirculation (EGR) Flow
System Description: The electric EGR (EEGR) system is monitored once per drive cycle at high and low load
conditions. The test fails when a concern is detected by powertrain control module (PCM)
calculations indicating the EGR flow is less or greater than expected.
Possible (cid:1) EEGR valve stuck open or closed
Causes: (cid:1) Connector to EEGR not seated
(cid:1) EEGR motor winding circuits short or open
(cid:1) No voltage to the EEGR
(cid:1) Harness open or short to voltage or ground
(cid:1) Vacuum signal to manifold absolute pressure (MAP) restricted or leaking
(cid:1) Mass air flow (MAF) sensor signal erroneous
(cid:1) Carbon build up in the EEGR valve seat area
(cid:1) One or more sensors is not responding or is out of range
Diagnostic All of the following sensors input data to the PCM for correct operation of the EEGR
Aids: system: engine coolant temperature (ECT), crankshaft position (CKP), intake air
temperature (IAT), MAF, throttle position (TP), MAP. Any DTC relating to these sensors
must be resolved prior to addressing DTC P0400.
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
P0401,Powertrain,Exhaust Gas Recirculation (EGR) Flow Insufficient Detected,"The EGR system is monitored during steady state driving conditions while the EGR
is commanded on. The test fails when the signal from the differential pressure
feedback EGR (DPFE) sensor indicates that EGR flow is less than the desired
minimum.","(cid:1) Vacuum supply
(cid:1) EGR valve stuck closed
(cid:1) EGR valve leaks vacuum
(cid:1) EGR flow path restricted
(cid:1) EVR circuit short to voltage
(cid:1) VREF open to DPFE sensor
(cid:1) DPFE sensor downstream hose is off or plugged
(cid:1) EVR circuit open
(cid:1) VPWR open to EGR vacuum regulator solenoid
(cid:1) DPFE sensor hoses are both off
(cid:1) DPFE sensor hoses are reversed
(cid:1) Damaged EGR orifice tube
(cid:1) Damaged EGR vacuum regulator solenoid","Carry out the key on engine running (KOER) self-test and look for DTC P1408 as an
indication of a hard fault. If DTC P1408 is not present, look for contamination,
restrictions, leaks, and intermittent concerns.",,"DTC Code: P0401
Title: Exhaust Gas Recirculation (EGR) Flow Insufficient Detected
System Description: The EGR system is monitored during steady state driving conditions while the EGR
is commanded on. The test fails when the signal from the differential pressure
feedback EGR (DPFE) sensor indicates that EGR flow is less than the desired
minimum.
Possible Causes: (cid:1) Vacuum supply
(cid:1) EGR valve stuck closed
(cid:1) EGR valve leaks vacuum
(cid:1) EGR flow path restricted
(cid:1) EVR circuit short to voltage
(cid:1) VREF open to DPFE sensor
(cid:1) DPFE sensor downstream hose is off or plugged
(cid:1) EVR circuit open
(cid:1) VPWR open to EGR vacuum regulator solenoid
(cid:1) DPFE sensor hoses are both off
(cid:1) DPFE sensor hoses are reversed
(cid:1) Damaged EGR orifice tube
(cid:1) Damaged EGR vacuum regulator solenoid
Diagnostic Steps/Aids: Carry out the key on engine running (KOER) self-test and look for DTC P1408 as an
indication of a hard fault. If DTC P1408 is not present, look for contamination,
restrictions, leaks, and intermittent concerns.
Vehicle Application: "
P0402,Powertrain,Exhaust Gas Recirculation (EGR) Flow Excessive Detected,"The EGR system is monitored for undesired EGR flow during idle. The EGR monitor
looks at the differential pressure feedback EGR (DPFE) signal at idle and compares it
to the stored signal measured during key on engine off (KOEO). The test fails when
the signal at idle is greater than at KOEO by a calibrated amount.","(cid:1) EGR valve stuck open
(cid:1) Plugged EGR vacuum regulator solenoid vent
(cid:1) Plugged EGR tube
(cid:1) Slow responding DPFE sensor
(cid:1) Damaged DPFE sensor
(cid:1) Incorrect vacuum hose connection
(cid:1) Plugged vacuum hoses
(cid:1) EVR circuit short to ground
(cid:1) Damaged EGR vacuum regulator solenoid","A DPFEGR PID reading that is greater at idle than during KOEO by 0.5 volt or a rough
engine idle may indicate a hard fault.",,"DTC Code: P0402
Title: Exhaust Gas Recirculation (EGR) Flow Excessive Detected
System Description: The EGR system is monitored for undesired EGR flow during idle. The EGR monitor
looks at the differential pressure feedback EGR (DPFE) signal at idle and compares it
to the stored signal measured during key on engine off (KOEO). The test fails when
the signal at idle is greater than at KOEO by a calibrated amount.
Possible Causes: (cid:1) EGR valve stuck open
(cid:1) Plugged EGR vacuum regulator solenoid vent
(cid:1) Plugged EGR tube
(cid:1) Slow responding DPFE sensor
(cid:1) Damaged DPFE sensor
(cid:1) Incorrect vacuum hose connection
(cid:1) Plugged vacuum hoses
(cid:1) EVR circuit short to ground
(cid:1) Damaged EGR vacuum regulator solenoid
Diagnostic Steps/Aids: A DPFEGR PID reading that is greater at idle than during KOEO by 0.5 volt or a rough
engine idle may indicate a hard fault.
Vehicle Application: "
P0403,Powertrain,Exhaust Gas Recirculation (EGR) Control Circuit,"The EEGR system is continuously monitored to check the 4 EEGR motor coils,
circuits, and the powertrain control module (PCM) for opens, shorts to voltage and
ground. If a concern is detected, the EEGR system is disabled and additional
monitoring is suspended for the remainder of the drive until the next drive cycle.","(cid:1) EEGR motor windings open
(cid:1) Connector to EEGR not seated
(cid:1) Open circuit in the harness from the PCM to the EEGR
(cid:1) Short circuit in the EEGR motor
(cid:1) Short circuit in the harness from the PCM to the EEGR
(cid:1) PCM","For All Others
Description: This test checks the electrical function of the EGR vacuum regulator solenoid. The test
fails when the EVR circuit voltage is either too high or too low when compared to the
expected voltage range. The EGR system must be enabled for the test to be
completed.
Possible Causes: (cid:1) EVR circuit open
(cid:1) EVR circuit short to voltage or ground
(cid:1) VPWR open to EGR vacuum regulator solenoid
(cid:1) EGR vacuum regulator solenoid
(cid:1) PCM
Diagnostic Aids: The EGR vacuum regulator solenoid resistance is between 26 and 40 ohms.",,"DTC Code: P0403
Title: Exhaust Gas Recirculation (EGR) Control Circuit
System Description: The EEGR system is continuously monitored to check the 4 EEGR motor coils,
circuits, and the powertrain control module (PCM) for opens, shorts to voltage and
ground. If a concern is detected, the EEGR system is disabled and additional
monitoring is suspended for the remainder of the drive until the next drive cycle.
Possible Causes: (cid:1) EEGR motor windings open
(cid:1) Connector to EEGR not seated
(cid:1) Open circuit in the harness from the PCM to the EEGR
(cid:1) Short circuit in the EEGR motor
(cid:1) Short circuit in the harness from the PCM to the EEGR
(cid:1) PCM
Diagnostic Steps/Aids: For All Others
Description: This test checks the electrical function of the EGR vacuum regulator solenoid. The test
fails when the EVR circuit voltage is either too high or too low when compared to the
expected voltage range. The EGR system must be enabled for the test to be
completed.
Possible Causes: (cid:1) EVR circuit open
(cid:1) EVR circuit short to voltage or ground
(cid:1) VPWR open to EGR vacuum regulator solenoid
(cid:1) EGR vacuum regulator solenoid
(cid:1) PCM
Diagnostic Aids: The EGR vacuum regulator solenoid resistance is between 26 and 40 ohms.
Vehicle Application: "
P0405,Powertrain,Exhaust Gas Recirculation (EGR) Sensor A Circuit Low,"The EGR monitor checks the differential pressure feedback EGR (DPFE) sensor
signal to the powertrain control module (PCM) for low voltage. The test fails when the
average voltage to the PCM drops to a voltage less than the minimum calibrated
value.","(cid:1) DPFE circuit short to ground
(cid:1) Damaged DPFE sensor
(cid:1) VREF short to ground","A DPFEGR PID reading less than 0.05 volt with the key ON, engine OFF or running
indicates a hard fault.",,"DTC Code: P0405
Title: Exhaust Gas Recirculation (EGR) Sensor A Circuit Low
System Description: The EGR monitor checks the differential pressure feedback EGR (DPFE) sensor
signal to the powertrain control module (PCM) for low voltage. The test fails when the
average voltage to the PCM drops to a voltage less than the minimum calibrated
value.
Possible Causes: (cid:1) DPFE circuit short to ground
(cid:1) Damaged DPFE sensor
(cid:1) VREF short to ground
Diagnostic Steps/Aids: A DPFEGR PID reading less than 0.05 volt with the key ON, engine OFF or running
indicates a hard fault.
Vehicle Application: "
P0406,Powertrain,Exhaust Gas Recirculation (EGR) Sensor A Circuit High,"The EGR monitor checks the EGR sensor signal to the powertrain control module
(PCM) for high voltage. The test fails when the average voltage to the PCM
exceeds the maximum calibrated value.","(cid:1) Differential pressure feedback EGR (DPFE) circuit open
(cid:1) VREF short to voltage
(cid:1) Damaged DPFE sensor
(cid:1) DPFE circuit short to voltage
(cid:1) SIG RTN circuit open","A DPFEGR PID reading greater than 4.5 volts with the key ON, engine OFF or
running indicates a hard fault.",,"DTC Code: P0406
Title: Exhaust Gas Recirculation (EGR) Sensor A Circuit High
System Description: The EGR monitor checks the EGR sensor signal to the powertrain control module
(PCM) for high voltage. The test fails when the average voltage to the PCM
exceeds the maximum calibrated value.
Possible Causes: (cid:1) Differential pressure feedback EGR (DPFE) circuit open
(cid:1) VREF short to voltage
(cid:1) Damaged DPFE sensor
(cid:1) DPFE circuit short to voltage
(cid:1) SIG RTN circuit open
Diagnostic Steps/Aids: A DPFEGR PID reading greater than 4.5 volts with the key ON, engine OFF or
running indicates a hard fault.
Vehicle Application: "
P0410,Powertrain,Secondary Air Injection (AIR) System,The AIR system detected a lack of air flow with the secondary AIR pump ON.,"(cid:1) AIR inlet hose leak.
(cid:1) AIR inlet hose disconnected.",Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose.,,"DTC Code: P0410
Title: Secondary Air Injection (AIR) System
System Description: The AIR system detected a lack of air flow with the secondary AIR pump ON.
Possible Causes: (cid:1) AIR inlet hose leak.
(cid:1) AIR inlet hose disconnected.
Diagnostic Steps/Aids: Measured air flow is less than expected. Visually inspect the secondary AIR inlet hose.
Vehicle Application: "
P0412,Powertrain,Secondary Air Injection (AIR) System - Switching Valve A Circuit,"On the primary side of the AIR relay, open and short faults on the AIR command circuit are
detected during normal operation by the powertrain control module (PCM) output driver.
Possible (cid:1) Short to voltage or ground in the AIR command circuit
Causes: (cid:1) Open in the AIR command circuit
(cid:1) AIR bypass solenoid fault
(cid:1) AIR relay fault
Diagnostic For intermittent faults use the AIR PCM output driver fault PID (AIRF) during a harness
Aids: wiggle test with the AIR PCM output driver in OFF and ON states. The AIR PCM output
driver fault PID AIRF instantly detects open circuits and shorts to ground with the PCM
output driver off. The AIR PCM output driver fault PID AIRF instantly detects open circuits
and shorts to ground with the PCM output driver off. The AIR PCM output driver fault PID
AIRF instantly detects a short to voltage or low resistance load with the PCM output driver
on. Use the output test mode to toggle the PCM output driver from OFF to ON.
Refer to Section 2, Output Test Mode (OTM) .",N/A,N/A,,"DTC Code: P0412
Title: Secondary Air Injection (AIR) System - Switching Valve A Circuit
System Description: On the primary side of the AIR relay, open and short faults on the AIR command circuit are
detected during normal operation by the powertrain control module (PCM) output driver.
Possible (cid:1) Short to voltage or ground in the AIR command circuit
Causes: (cid:1) Open in the AIR command circuit
(cid:1) AIR bypass solenoid fault
(cid:1) AIR relay fault
Diagnostic For intermittent faults use the AIR PCM output driver fault PID (AIRF) during a harness
Aids: wiggle test with the AIR PCM output driver in OFF and ON states. The AIR PCM output
driver fault PID AIRF instantly detects open circuits and shorts to ground with the PCM
output driver off. The AIR PCM output driver fault PID AIRF instantly detects open circuits
and shorts to ground with the PCM output driver off. The AIR PCM output driver fault PID
AIRF instantly detects a short to voltage or low resistance load with the PCM output driver
on. Use the output test mode to toggle the PCM output driver from OFF to ON.
Refer to Section 2, Output Test Mode (OTM) .
Possible Causes: N/A
Diagnostic Steps/Aids: N/A
Vehicle Application: "
